Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index,Lat,Lon
4/13/2025 14:38,3,1,0,0,334925130,-820056944,31,583,29127134,0,9.39,294.88,290.38,0.02,-0.89,4.62,2,33.492513,-82.0056944
4/13/2025 14:38,3,1,0,0,334925138,-820057019,31,522,29192472,0,8.72,296.27,293.94,0.01,2.02,4.62,2,33.4925138,-82.0057019
4/13/2025 14:38,3,1,0,0,334925150,-820057092,31,573,29628456,0,8.06,297.55,294.19,0.02,-2.09,4.62,2,33.492515,-82.0057092
4/13/2025 14:38,3,1,0,0,334925165,-820057164,31,588,29662960,0,7.39,298.8,294.19,0.03,-2.44,4.62,2,33.4925165,-82.0057164
4/13/2025 14:38,3,1,0,0,334925177,-820057229,31,514,29597860,0,6.8,300.26,298.13,0.01,2.15,4.62,2,33.4925177,-82.0057229
4/13/2025 14:38,3,1,0,0,334925195,-820057294,31,573,30116556,0,6.18,301.48,298.69,0.02,-2.47,4.62,2,33.4925195,-82.0057294
4/13/2025 14:38,3,1,0,0,334925217,-820057359,31,589,30319314,0,5.54,302.57,298.69,0.02,-4.5,4.62,2,33.4925217,-82.0057359
4/13/2025 14:38,3,1,0,0,334925245,-820057384,31,548,30420938,0,5.18,301.05,301.31,0,-2.9,4.19,2,33.4925245,-82.0057384
4/13/2025 14:38,3,1,0,0,334925274,-820057413,31,577,30563946,0,4.78,299.4,301.31,-0.01,-4.33,4.19,2,33.4925274,-82.0057413
4/13/2025 14:38,3,1,0,0,334925305,-820057444,31,577,30677254,0,4.36,297.31,301.31,-0.02,-5.46,4.19,2,33.4925305,-82.0057444
4/13/2025 14:38,3,1,0,0,334925333,-820057476,31,530,30556352,0,3.96,295.28,298.75,-0.02,-6.81,4.19,2,33.4925333,-82.0057476
4/13/2025 14:38,3,1,0,0,334925361,-820057512,31,571,30363726,0,3.53,293.02,298.44,-0.03,-5.2,4.19,2,33.4925361,-82.0057512
4/13/2025 14:38,3,1,0,0,334925386,-820057545,31,489,30387722,0,3.14,290.53,293.5,-0.02,-10.38,4.19,2,33.4925386,-82.0057545
4/13/2025 14:38,3,1,0,0,334925410,-820057584,31,559,29724928,0,2.71,287.93,292.38,-0.02,-4.87,4.19,2,33.492541,-82.0057584
4/13/2025 14:38,3,1,0,0,334925432,-820057625,31,523,29649242,0,2.28,285.01,288.94,-0.02,-7.55,4.19,2,33.4925432,-82.0057625
4/13/2025 14:38,3,1,0,0,334925452,-820057666,31,535,29343332,0,1.85,281.41,286.25,-0.03,-7.18,4.19,2,33.4925452,-82.0057666
4/13/2025 14:38,3,1,0,0,334925469,-820057706,31,498,29153042,0,20.33,282.13,287.64,-0.03,-3.89,-1.89,3,33.4925469,-82.0057706
4/13/2025 14:38,3,1,0,0,334925481,-820057737,31,365,28763724,0,20.02,281.93,283.2,-0.01,-4.44,-1.89,3,33.4925481,-82.0057737
4/13/2025 14:38,3,1,0,0,334925491,-820057777,31,515,28112722,0,19.64,281.83,281.89,0,0.76,-1.89,3,33.4925491,-82.0057777
4/13/2025 14:38,3,1,0,0,334925501,-820057827,31,563,28222924,0,19.16,281.79,281.39,0,-0.84,-1.89,3,33.4925501,-82.0057827
4/13/2025 14:38,3,1,0,0,334925512,-820057880,31,580,28196464,0,18.65,281.73,281.39,0,-0.58,-1.89,3,33.4925512,-82.005788
4/13/2025 14:38,3,1,0,0,334925522,-820057936,31,589,28175598,0,18.12,281.72,281.39,0,-0.37,-1.89,3,33.4925522,-82.0057936
4/13/2025 14:38,3,1,0,0,334925532,-820057993,31,592,28169782,0,17.58,281.72,281.39,0,-0.31,-1.89,3,33.4925532,-82.0057993
4/13/2025 14:38,3,1,0,0,334925543,-820058050,31,597,28242198,0,17.04,281.67,281.39,0,-1.03,-1.89,3,33.4925543,-82.005805
4/13/2025 14:38,3,1,0,0,334925555,-820058109,31,602,28261714,0,16.48,281.61,281.39,0,-1.23,-1.89,3,33.4925555,-82.0058109
4/13/2025 14:38,3,1,0,0,334925567,-820058168,31,600,28251094,0,15.91,281.53,281.39,0,-1.12,-1.89,3,33.4925567,-82.0058168
4/13/2025 14:38,3,1,0,0,334925579,-820058228,31,606,28268926,0,15.34,281.46,281.39,0,-1.3,-1.89,3,33.4925579,-82.0058228
4/13/2025 14:38,3,1,0,0,334925591,-820058287,31,606,28256526,0,14.78,281.37,282.69,-0.01,0.13,-3.19,3,33.4925591,-82.0058287
4/13/2025 14:38,3,1,0,0,334925603,-820058347,31,616,28243420,0,14.21,281.29,282.69,-0.01,0.26,-3.19,3,33.4925603,-82.0058347
4/13/2025 14:38,3,1,0,0,334925615,-820058406,31,610,28271640,0,13.64,281.19,282.69,-0.01,-0.02,-3.19,3,33.4925615,-82.0058406
4/13/2025 14:38,3,1,0,0,334925627,-820058466,31,611,28265820,0,13.07,281.09,282.69,-0.01,0.03,-3.19,3,33.4925627,-82.0058466
4/13/2025 14:38,3,1,0,0,334925640,-820058526,31,616,28302372,0,12.5,280.93,282.69,-0.01,-0.33,-3.19,3,33.492564,-82.0058526
4/13/2025 14:38,3,1,0,0,334925653,-820058587,31,612,28366724,0,11.92,280.76,282.69,-0.01,-0.97,-3.19,3,33.4925653,-82.0058587
4/13/2025 14:38,3,1,0,0,334925665,-820058648,31,607,28391348,0,11.33,280.63,282.69,-0.01,-1.22,-3.19,3,33.4925665,-82.0058648
4/13/2025 14:38,3,1,0,0,334925678,-820058709,31,601,28409830,0,10.75,280.43,282.69,-0.01,-1.41,-3.19,3,33.4925678,-82.0058709
4/13/2025 14:39,3,1,0,0,334925692,-820058771,31,600,28437010,0,10.16,280.15,282.69,-0.01,-1.68,-3.19,3,33.4925692,-82.0058771
4/13/2025 14:39,3,1,0,0,334925705,-820058832,31,603,28483776,0,9.58,279.9,282.69,-0.02,-2.15,-3.19,3,33.4925705,-82.0058832
4/13/2025 14:39,3,1,0,0,334925719,-820058894,31,598,28491418,0,8.98,279.55,283.43,-0.02,-1.49,-3.93,3,33.4925719,-82.0058894
4/13/2025 14:39,3,1,0,0,334925734,-820058953,31,576,28627060,0,8.42,279.05,281.18,-0.01,-5.09,-3.93,3,33.4925734,-82.0058953
4/13/2025 14:39,3,1,0,0,334925746,-820059013,31,595,28222908,0,7.85,278.73,280.99,-0.01,-1.24,-3.93,3,33.4925746,-82.0059013
4/13/2025 14:39,3,1,0,0,334925758,-820059074,31,605,28276896,0,7.27,278.36,280.99,-0.01,-1.78,-3.93,3,33.4925758,-82.0059074
4/13/2025 14:39,3,1,0,0,334925770,-820059136,31,611,28246130,0,6.68,277.95,280.99,-0.02,-1.47,-3.93,3,33.492577,-82.0059136
4/13/2025 14:39,3,1,0,0,334925782,-820059198,31,613,28279510,0,6.09,277.45,280.99,-0.02,-1.8,-3.93,3,33.4925782,-82.0059198
4/13/2025 14:39,3,1,0,0,334925794,-820059260,31,610,28294916,0,5.5,276.85,280.99,-0.02,-1.96,-3.93,3,33.4925794,-82.005926
4/13/2025 14:39,3,1,0,0,334925807,-820059320,31,589,28502824,0,4.93,275.95,278.05,-0.01,-6.97,-3.93,3,33.4925807,-82.005932
4/13/2025 14:39,3,1,0,0,334925816,-820059381,31,586,27918270,0,4.36,275.42,277.93,-0.01,-1.25,-3.93,3,33.4925816,-82.0059381
4/13/2025 14:39,3,1,0,0,334925825,-820059443,31,590,28016480,0,3.78,274.73,277.93,-0.02,-2.24,-3.93,3,33.4925825,-82.0059443
4/13/2025 14:39,3,1,0,0,334925835,-820059506,31,598,28035752,0,3.19,273.6,280.46,-0.04,0.1,-6.46,3,33.4925835,-82.0059506
4/13/2025 14:39,3,1,0,0,334925846,-820059568,31,587,28141204,0,2.61,271.71,274.14,-0.01,-7.27,-6.46,3,33.4925846,-82.0059568
4/13/2025 14:39,3,1,0,0,334925851,-820059629,31,555,27319684,0,2.04,270.62,272.96,-0.01,-0.24,-6.46,3,33.4925851,-82.0059629
4/13/2025 14:39,3,1,0,0,334925854,-820059691,31,588,27237016,0,1.47,269.57,272.77,-0.02,0.4,-6.46,3,33.4925854,-82.0059691
4/13/2025 14:39,3,1,0,0,334925857,-820059752,31,579,27273606,0,20.42,281.46,274.52,0.04,1.78,-8.21,4,33.4925857,-82.0059752
4/13/2025 14:39,3,1,0,0,334925858,-820059800,31,409,27107474,0,19.99,281.69,280.96,0,9.88,-8.21,4,33.4925858,-82.00598
4/13/2025 14:39,3,1,0,0,334925861,-820059842,31,404,27631388,0,19.6,281.82,284.33,-0.01,8.02,-8.21,4,33.4925861,-82.0059842
4/13/2025 14:39,3,1,0,0,334925868,-820059891,31,529,28222650,0,19.14,281.87,284.83,-0.02,2.61,-8.21,4,33.4925868,-82.0059891
