Latitude,Longitude,SIV,heading,speed,distanceBetween,targetHeading,currentHeading,headingError,gpsError,averageGPSError,lat,long,index
335443865,-820342870,28,14103652,1344,212.29,143.25,141.25,0.01,0.21,-24.19,33.5443865,-82.034287,0
335443770,-820342779,28,14084706,1347,210.94,143.27,139.77,0.02,-1.08,-24.19,33.544377,-82.0342779,0
335443677,-820342688,29,14035544,1340,209.61,143.28,139.21,0.02,-1.15,-24.19,33.5443677,-82.0342688,0
335443588,-820342601,29,14104230,1258,208.33,143.3,140.73,0.01,-0.31,-24.19,33.5443588,-82.0342601,0
335443499,-820342514,29,14045072,1295,207.05,143.31,141.32,0.01,0.87,-24.19,33.5443499,-82.0342514,0
335443408,-820342424,29,14023536,1319,205.74,143.33,142.7,0,2.46,-24.19,33.5443408,-82.0342424,0
335443315,-820342333,29,14077818,1341,204.41,143.35,144.11,0,3.33,-24.19,33.5443315,-82.0342333,0
335443220,-820342243,29,14187752,1362,203.06,143.36,144.57,-0.01,2.69,-24.19,33.544322,-82.0342243,0
335443123,-820342154,31,14238166,1347,201.71,143.36,145.41,-0.01,3.03,-24.19,33.5443123,-82.0342154,0
335443027,-820342068,31,14366990,1338,200.37,143.36,143.77,0,0.1,-23.04,33.5443027,-82.0342068,0
335442932,-820341982,31,14250364,1323,199.05,143.37,143.18,0,0.67,-23.04,33.5442932,-82.0341982,0
335442838,-820341895,31,14194070,1316,197.73,143.37,143.35,0,1.41,-23.04,33.5442838,-82.0341895,0
335442745,-820341807,31,14140572,1319,196.41,143.38,143.81,0,2.4,-23.04,33.5442745,-82.0341807,0
335442650,-820341718,31,14162994,1345,195.07,143.39,144,0,2.37,-23.04,33.544265,-82.0341718,0
335442555,-820341629,31,14214394,1349,193.73,143.4,143.38,0,1.23,-23.04,33.5442555,-82.0341629,0
335442459,-820341539,31,14159340,1344,192.38,143.41,143.16,0,1.56,-23.04,33.5442459,-82.0341539,0
335442365,-820341450,31,14154936,1327,191.05,143.42,144.25,0,2.7,-23.04,33.5442365,-82.034145,0
335442272,-820341363,31,14195584,1320,189.74,143.43,145.43,-0.01,3.47,-23.04,33.5442272,-82.0341363,0
335442178,-820341280,31,14412096,1281,188.44,143.43,144.85,-0.01,0.73,-23.04,33.5442178,-82.034128,0
335442085,-820341200,31,14423968,1271,187.16,143.43,144.28,0,0.04,-23.04,33.5442085,-82.03412,0
335441993,-820341121,31,14448416,1261,185.91,143.42,141.48,0.01,-3,-21.52,33.5441993,-82.0341121,0
335441903,-820341041,31,14281384,1238,184.66,143.42,141.28,0.01,-1.53,-21.52,33.5441903,-82.0341041,0
335441815,-820340963,31,14330334,1201,183.44,143.42,141.21,0.01,-2.09,-21.52,33.5441815,-82.0340963,0
335441731,-820340887,31,14267634,1163,182.27,143.42,140.74,0.01,-1.94,-21.52,33.5441731,-82.0340887,0
335441650,-820340812,31,14230706,1132,181.14,143.43,140.71,0.02,-1.6,-21.52,33.544165,-82.0340812,0
